,0
0,19.58
1,34.06
2,42.64
3,46.96
4,50.17
5,52.77
6,53.06
7,55.66
8,55.18
9,56.73
10,58.15
11,55.41
12,57.16
13,56.2
14,58.27
15,56.77
16,57.23
17,54.67
18,55.99
19,56.51
20,57.26
21,57.94
22,58.81
23,58.72
24,56.6
25,57.56
26,59.59
27,57.51
28,59.01
29,57.82
30,57.78
31,58.01
32,57.86
33,58.95
34,57.52
35,58.73
36,59.58
37,57.97
38,59.74
39,58.78
40,59.0
41,60.1
42,58.69
43,59.82
44,60.62
45,60.36
46,61.48
47,59.71
48,61.09
49,61.39
50,60.61
51,61.66
52,61.59
53,61.34
54,61.53
55,61.83
56,62.05
57,62.59
58,62.65
59,62.88
60,63.46
61,63.14
62,64.03
63,64.33
64,64.32
65,64.62
66,64.93
67,64.98
68,64.8
69,65.32
70,65.16
71,65.64
72,65.53
73,65.99
74,65.73
75,65.8
76,65.93
77,65.83
78,65.75
79,65.93
80,65.88
81,66.48
82,66.46
83,66.26
84,66.25
85,66.45
86,66.62
87,66.53
88,66.62
89,66.81
90,66.74
91,66.74
92,66.73
93,66.88
94,66.83
95,66.78
96,66.82
97,66.81
98,66.84
99,66.7
