,0
0,2.289291845560074
1,2.0529657971858977
2,2.2221787571907043
3,2.263520154953003
4,1.9860019981861115
5,2.0391910791397097
6,2.0095957207679747
7,2.100513824224472
8,1.5980878293514251
9,1.4049025827646255
10,1.3503660082817077
11,1.3268599450588225
12,1.2667468565702438
13,1.2783386206626892
14,1.2008090943098069
15,1.1833792746067047
16,1.1918019491434098
17,1.1619271558523179
18,1.1553528141975402
19,1.1864857482910156
20,1.155339661836624
21,1.1723530876636505
22,1.1683494812250137
23,1.1805584728717804
24,1.1736141246557237
25,1.1880563646554947
26,1.222775792479515
27,1.2349859142303468
28,1.2352273237705231
29,1.233199298977852
30,1.2652489125728608
31,1.2930583894252776
32,1.32290754199028
33,1.353512846827507
34,1.3644419240951537
35,1.3966346651315689
36,1.4343167847394944
37,1.2614942181110382
38,1.914541642665863
39,1.5907236862182617
40,2.0749229061603547
41,1.207677708864212
42,1.1515091943740845
43,1.1164124339818955
44,1.093682753443718
45,1.056096134185791
46,1.0215405994653701
47,1.0257051819562912
48,1.027646775841713
49,0.9924404954910279
50,0.9740645694732666
51,0.981367620229721
52,0.9847647255659103
53,0.9766227239370346
54,0.9683855152130127
55,0.9692381519079208
56,0.9812908613681793
57,0.9758337193727493
58,0.9743191820383071
59,0.9727273720502854
60,0.981993579864502
61,0.9744290328025818
62,0.9789928513765335
63,0.9855350255966187
64,0.995550104379654
65,0.996678963303566
66,0.990004169344902
67,0.9970713210105896
68,1.0016764736175536
69,1.0017001694440841
70,1.0076408052444459
71,1.0099082386493683
72,1.012289651632309
73,1.013317558169365
74,1.015959991812706
75,1.0181258022785187
76,1.0226337498426437
77,1.026326170563698
78,1.0244560879468918
79,1.0273356914520264
80,1.0306704175472259
81,1.0293980300426484
82,1.032275550365448
83,1.0326974785327911
84,1.0345038586854935
85,1.0346040362119675
86,1.0349380737543106
87,1.0359424829483033
88,1.0366303765773772
89,1.0369741600751876
90,1.037397882938385
91,1.037844824194908
92,1.0374248397350312
93,1.0373929333686829
94,1.0373313742876054
95,1.0372157096862793
96,1.0371737909317016
97,1.037114217877388
98,1.037120600938797
99,1.037124559879303
